question,groundtruth
"Quand à été inauguré le canal du panama ?","Le canal de Panama a été inauguré avant le 5 septembre 1914."
"When was the panama canal inaugurated ?","The Panama Canal was inaugurated before september 5th, 1914."
"Quelle à été la réaction des suisses face au décés d Elvis Presley ?","La réaction des Suisses face au décès d Elvis Presley a été marquée par une nostalgie et une tristesse, mais aussi d une interogation face à la chute d une star."
"What was the reaction of the Swiss people to the death of Elvis Presley ?","The reaction of the Swiss people to the death of Elvis Presley was marked by nostalgia and sadness, but also by a questioning of the fall of a star."
"Ou était situé le bureau de J. de SIEBENTHAL","Le bureau était situé à la rue St. Pierre nº 16"
"Where was the office of J. de SIEBENTHAL located ?","The office was located at rue St. Pierre nº 16"
"Quel était le prix d une Mazda 626 en 2000 ?","Le prix d une Mazda 626 en 2000 était de Fr. 28 950.-."
"What was the price of a Mazda 626 in 2000 ?","The price of a Mazda 626 in 2000 was Fr. 28,950.-."
"Comment à été la récolte agricole en 1762?","La récolte agricole en 1762 a été très bonne, avec des rendements élevés et une production abondante."
"How was the agricultural harvest in 1762 ?","The agricultural harvest in 1762 was very good, with high yields and abundant production."
"Michel Soutter, par rapport au ci­néma, qu’est-ce-qui vous attire au théâtre?","Le texte, et puis j'aime avoir le temps de faire avec les comédiens un travail différent, pas comme au cinéma ou le texte nest qu'un des éléments du récit"
"À qui appartient le numéro de TEL. 022/20 63 77","Ce numéro appartiens à TVB hébdo (tout va bien hébdo)"
"Qui est Eugène Grasset ?","Eugène Grasset, est un graveur, affichiste, décorateur et architecte français d'origine suisse, représentatif de l'Art nouveau."
"Qu'est-ce une BJC-3000?","La BJC-3000 est une imprimante de la marque Canon, une publicité pour cette imprimante à étée publiée au journal  hébdo le 24 février 2000"
"Quand à eu lieue la guerre civile aux états unis?","Les informations données ne permettent pas de répondre à cette question"
"Comment s'appelait le cheval de Christine Stuckeiberger?","Le cheval de Christine Stuckeiberger s'appelait Granat."
"Quels sont les avantages des sciences de l'information","Une bonne connaissance face aux médias, un esprit "critique à l'information" ainsi que d' élaborent les grands principes de méthodologie d'éducation aux médias, qui restent valables aujourd'hui. "
"Qui sont les concurents de Petitesannonces.ch","Le site co-parents.fr, qui compte 2oooo abonnés; dont 450 en Suisse"
"Quels étaient les taux d'interet (en pourcentage) en 1898 pour les bons d'obligations pour les chemins de fer?","La rente fédérale pour les chemins de fer en 1898 était de 3%"
"Quelle est l'histoire du chateau Spielberg? quelles batailles à t'il vécu et qui sont les acteurs majeurs","Les personnalités majeures du chateau spielberg sont le général Weber. Le chateau à vécu beaucoup de batailles, notament au début du 18e siècle."
"Ou et comment est arrivé le général miles le 25 juillet 1898?","Washington, le 25.07.1898 — Le général Miles est arrivé le 22 courant, après-midi, au môle de St-Nicolas avec 3400 hommes et cinq batteries"
"Quelle est l'attitude des bernois face à la baignade à l'aar?","L'attitudes des bernois à évoluée au cours des années. en 1885 avec la construcion du chemin de fer ficelle, l'accès à été facilité et nombreux bernois s'y baignaient nus. par la suite - avec la construction du barage hydroéléctrique, la baignade s'est arrétée par endroits mais reste une activitée populaire."
"Est ce que la suisse avait des colonies aux états unis et ou les amériques","Le document fourni mentionne des colonies, mais il fait référence à des colonies françaises (comme lInde française) et non à des colonies suisses."
"Qui est Jules Claretie et quel est son rapport à la litterature?","Jules Claretie était un membre de l'académie française"
"Qui est Osman Bölükbaşı, et quel est son lien avec la politique en turquie","Osman Bölükbaşı était un candidat présidentiel turc emprisonné pour offense au parlement. son incarceration à fait couler beaucoup d'encre et mène plusieurs débats quand à la démocratie turque."
"Quel sujet à fait polémique après la rénovation de la grande salle au palais de beaulieu à lausanne?","Le manque de climatisation à été amplement critiqué"
"Comment était l'entente entre les partis communistes soviètique et yougoslave durant la guerre froide? Les dirigeant ce sont t'ils rencontrés?","L'entente était bonne. lors d'une visite, les obserateurs nottent une "sensation" et une "approbation enthousiaste". De plus les dirigeants moscovites encouragaient Kroutchev à améliorer les relations avec la Yougoslavie de Tito"
"Y a t'il eu des tensions en suisse en 1860? Comment ont réagi les citoyens patriotiques?","les 3,000 citoyens populaires de Berne et les 500 de Vevey, naturellement tous animés d'un ardent amour pour la patrie et enflammés du désir de se sacrifier à son honneur, auraient fait une force plus imposante que les quelques bataillons mis sur pied, avec les armes nécessaires que la patrie ne leur eût pas refusées, et les populations neutralisées par les traités, électrisées et aguerries par leur présence, n'auraient pu résister à la contagion; on les aurait vues se lever comme un seul homme, et jurer de mourir jusqu'au dernier"
"Qu'est ce que la fratérnité fondée le 1er avril 1889? Quels sont ses objectifs?","La fratérnité est une associassion bienveillantequi vise à aider ses proches. en 1898 elle comptait 92 membres et recrutait activement."
"Qu'elle est la taille de la commune de Grancy?","Grancy est une Commune de 400 habitants"
"Qui sont Bang et Hytönen?","Bang et Hytönen étant a priori incontournables sur scene. des jeunes acteurs"
"Quels sont les caractèristiques du cirage anglais?","Le cirage anglais est caractérisé par le plus beau noir et le plus beau lustre possible ; il rend le cuir souple et imperméable. Ce cirage, composé entièrement de matières grasses, et ne contenant aucun ingrédient qui puisse nuire à la chaussure, se recommande par ses qualités et surtout par la modicité de son prix"
"Qui est Albert Bachmann et quels sont ses liens avec les services militaires Suisses et l'irlande?","Albert Bachmann était un ex-espion (officier) suisse qui est parti prendre sa retraite en Irlande"
"Comment à réagi la population face à la loi fiscale valaisanne de 1976?","Plusieurs initiatives ce sont prises à cette loi, qui ont obtennu une du soutien considérable."
"Quand à été courroné Chanh-Mong, roi d'Annam?","Chanh-Mong a été proclamé roi d'Annam le 15 septembre 1885 et à été courroné le 19 septembre 1885"
"Quel est le nom de la personne à contacter et la référence à utiliser pour obtenir plus d'informations sur la boucherie de Biel/Bienne ?","Pour plus d'informations, il faut contacter M. Vanconcloin avec la référence H1104."
"Selon les documents fournis, comment le style diplomatique du président Poutine est-il décrit, et à quelle formation est-il attribué par l'historien Sergueï Kharlamov ?","L'article décrit le style diplomatique de Poutine comme étant souriant et concentré, avec un regard planté dans celui de ses interlocuteurs. L'historien Sergueï Kharlamov attribue sa capacité à convaincre les délégations étrangères sans dévier de ses positions à sa formation à l'école du KGB."
"Selon les articles fournis, quel est le nom du premier monument d'Athanase sur le mont Athos et qu'est-ce qui le rend artistiquement remarquable ?","Le premier monument d'Athanase est le catholicon. Il est artistiquement remarquable en raison de ses fresques murales, qui représentent des scènes et des disciples de caractère chrétien."
"Selon les articles fournis, qui est M. A. Tauxe, et pourquoi son papier "gros grain" est-il considéré comme utile pour la diplomatie ?","M. A. Tauxe est un ingénieur chimiste. Son papier "gros grain" est considéré comme utile pour la diplomatie, car, selon les connaisseurs, il est capable de rendre de grands services grâce au portrait qu'il permet d'obtenir."
"According to the articles retrieved, what is the stance of GASSMANN regarding the pertinence of the proposed reform?","According to the article, GASSMANN questions whether the reform is pertinent and then categorically states, "Not really.""
"What was the result of the Brazil vs. USSR basketball match mentioned in the articles in 1963?","Brazil defeated the USSR 90-79 to retain the world basketball championship title."
"What was the final score of the Coupe de France final between AS Monaco and Olympique Lyonnais?","The final score was AS Monaco 2, Olympique Lyonnais 0."
"According to the "FEUILLE D'AVIS DE LAUSANNE" published on Friday, May 24, 1963, what was the outcome of the match between Le Locle and ES Malley, including the final score and the stadium name?","The match between Le Locle and ES Malley, played on a slippery field at the Stade des Jeannerets, ended in a 1-1 tie."
"In the article dated May 24, 1963, what was the significance of the Chaux-de-Fonds victory against Zurich in the First League Championship?","The victory was significant because it was Zurich's second defeat of the season, and it prevented them from taking the lead in the championship."
"Based on the article from May 24, 1963, what was the weather and spectator count for the Chaux-de-Fonds vs. Zurich match, and what was the main headline for the article?","The match took place in "maussade" (gloomy) weather and had an audience of nearly 6000 spectators. The main headline for the article was "Sensation hier au stade de la Charrière.""
"In the section "Le Prix Schiller à Robert Pinget," which of his works is mentioned as his "best novel" at the time he received the Prix Rambert in 1959?","The article states that Le Fiston was considered his best novel when he was awarded the Prix Rambert in 1959."
"What is the artistic medium of "gemmail" as described in the section "Le monde coloré de Danielle Dhumez," and what inspired its name?",""Gemmail" is an art form using juxtaposed and layered colored glass plates to create a stained-glass effect. Its name is derived from the word "gemme," meaning precious stone."
"why did the Greek sovereigns' visit to London almost get cancelled, and what was the main reason for the opposition?","The visit was almost cancelled due to a persistent campaign by the Labour Party in the press, who described Queen Frederika as an "intrigante" (scheming) German and Anglophobe who should not be invited. The campaign followed an incident in April where she was the subject of unpleasant public demonstrations."
"What did the Soviet ambassador Nikolai Fedorenko declare regarding the USSR's financial contribution to the UN, and what did the US delegate Stevenson call this action?","Nikolai Fedorenko declared that the USSR would not contribute further to the UN's special loan or to the maintenance costs of its commissions, including those in the Congo and the Middle East. The US delegate Stevenson called this action a kind of "financial veto.""
